"run","randomSeed","UAV_LateralMaxSpeedMPS","Manned_VerticalMaxSpeedMPS","Manned_LateralMaxSpeedMPS","Manned_LayersPer360","UAV_VerticalMaxSpeedMPS","Manned_RequiredVerticalSeparationM","Manned_BaseAltitude","UAV_LayersPer360","UAV_BaseAltitude","UAV_RequiredVerticalSeparationM"
1,546546,15.43,7.62,61.73,2.0,1.52,304.8,304.8,2.0,152.4,30.48
3,546546,15.43,7.62,61.73,2.0,1.52,304.8,304.8,6.0,152.4,30.48
5,546546,15.43,7.62,61.73,2.0,1.52,304.8,304.8,10.0,152.4,30.48
7,546546,15.43,7.62,61.73,2.0,1.52,304.8,304.8,14.0,152.4,30.48
9,546546,15.43,7.62,61.73,2.0,1.52,304.8,304.8,18.0,152.4,30.48
11,546546,15.43,7.62,61.73,2.0,1.52,304.8,304.8,22.0,152.4,30.48
13,546546,15.43,7.62,61.73,2.0,1.52,304.8,304.8,26.0,152.4,30.48
15,546546,15.43,7.62,61.73,2.0,1.52,304.8,304.8,30.0,152.4,30.48
17,546546,15.43,7.62,61.73,2.0,1.52,304.8,304.8,34.0,152.4,30.48
19,651568,15.43,7.62,61.73,2.0,1.52,304.8,304.8,2.0,152.4,30.48
21,651568,15.43,7.62,61.73,2.0,1.52,304.8,304.8,6.0,152.4,30.48
23,651568,15.43,7.62,61.73,2.0,1.52,304.8,304.8,10.0,152.4,30.48
25,651568,15.43,7.62,61.73,2.0,1.52,304.8,304.8,14.0,152.4,30.48
27,651568,15.43,7.62,61.73,2.0,1.52,304.8,304.8,18.0,152.4,30.48
29,651568,15.43,7.62,61.73,2.0,1.52,304.8,304.8,22.0,152.4,30.48
31,651568,15.43,7.62,61.73,2.0,1.52,304.8,304.8,26.0,152.4,30.48
33,651568,15.43,7.62,61.73,2.0,1.52,304.8,304.8,30.0,152.4,30.48
35,651568,15.43,7.62,61.73,2.0,1.52,304.8,304.8,34.0,152.4,30.48
37,879413,15.43,7.62,61.73,2.0,1.52,304.8,304.8,2.0,152.4,30.48
39,879413,15.43,7.62,61.73,2.0,1.52,304.8,304.8,6.0,152.4,30.48
41,879413,15.43,7.62,61.73,2.0,1.52,304.8,304.8,10.0,152.4,30.48
43,879413,15.43,7.62,61.73,2.0,1.52,304.8,304.8,14.0,152.4,30.48
45,879413,15.43,7.62,61.73,2.0,1.52,304.8,304.8,18.0,152.4,30.48
47,879413,15.43,7.62,61.73,2.0,1.52,304.8,304.8,22.0,152.4,30.48
49,879413,15.43,7.62,61.73,2.0,1.52,304.8,304.8,26.0,152.4,30.48
51,879413,15.43,7.62,61.73,2.0,1.52,304.8,304.8,30.0,152.4,30.48
53,879413,15.43,7.62,61.73,2.0,1.52,304.8,304.8,34.0,152.4,30.48
2,546546,15.43,7.62,61.73,2.0,1.52,304.8,304.8,4.0,152.4,30.48
4,546546,15.43,7.62,61.73,2.0,1.52,304.8,304.8,8.0,152.4,30.48
6,546546,15.43,7.62,61.73,2.0,1.52,304.8,304.8,12.0,152.4,30.48
8,546546,15.43,7.62,61.73,2.0,1.52,304.8,304.8,16.0,152.4,30.48
10,546546,15.43,7.62,61.73,2.0,1.52,304.8,304.8,20.0,152.4,30.48
12,546546,15.43,7.62,61.73,2.0,1.52,304.8,304.8,24.0,152.4,30.48
14,546546,15.43,7.62,61.73,2.0,1.52,304.8,304.8,28.0,152.4,30.48
16,546546,15.43,7.62,61.73,2.0,1.52,304.8,304.8,32.0,152.4,30.48
18,546546,15.43,7.62,61.73,2.0,1.52,304.8,304.8,36.0,152.4,30.48
20,651568,15.43,7.62,61.73,2.0,1.52,304.8,304.8,4.0,152.4,30.48
22,651568,15.43,7.62,61.73,2.0,1.52,304.8,304.8,8.0,152.4,30.48
24,651568,15.43,7.62,61.73,2.0,1.52,304.8,304.8,12.0,152.4,30.48
26,651568,15.43,7.62,61.73,2.0,1.52,304.8,304.8,16.0,152.4,30.48
28,651568,15.43,7.62,61.73,2.0,1.52,304.8,304.8,20.0,152.4,30.48
30,651568,15.43,7.62,61.73,2.0,1.52,304.8,304.8,24.0,152.4,30.48
32,651568,15.43,7.62,61.73,2.0,1.52,304.8,304.8,28.0,152.4,30.48
34,651568,15.43,7.62,61.73,2.0,1.52,304.8,304.8,32.0,152.4,30.48
36,651568,15.43,7.62,61.73,2.0,1.52,304.8,304.8,36.0,152.4,30.48
38,879413,15.43,7.62,61.73,2.0,1.52,304.8,304.8,4.0,152.4,30.48
40,879413,15.43,7.62,61.73,2.0,1.52,304.8,304.8,8.0,152.4,30.48
42,879413,15.43,7.62,61.73,2.0,1.52,304.8,304.8,12.0,152.4,30.48
44,879413,15.43,7.62,61.73,2.0,1.52,304.8,304.8,16.0,152.4,30.48
46,879413,15.43,7.62,61.73,2.0,1.52,304.8,304.8,20.0,152.4,30.48
48,879413,15.43,7.62,61.73,2.0,1.52,304.8,304.8,24.0,152.4,30.48
50,879413,15.43,7.62,61.73,2.0,1.52,304.8,304.8,28.0,152.4,30.48
52,879413,15.43,7.62,61.73,2.0,1.52,304.8,304.8,32.0,152.4,30.48
54,879413,15.43,7.62,61.73,2.0,1.52,304.8,304.8,36.0,152.4,30.48
