run,tick,UAV-UAV,Manned-Manned,UAV-Manned,,,,max airproxes,,,,,,,,,,,,,,,,,,
1,1,0,0,0,,,run,U-U,M-M,U-M,UAV layers,,,,run,randomSeed,UAV_LateralMaxSpeedMPS,Manned_VerticalMaxSpeedMPS,Manned_LateralMaxSpeedMPS,Manned_LayersPer360,UAV_VerticalMaxSpeedMPS,Manned_RequiredVerticalSeparationM,Manned_BaseAltitude,UAV_LayersPer360,UAV_BaseAltitude,UAV_RequiredVerticalSeparationM
1,4,0,0,0,,,1,325,0,0,2,,,,1,546546,15.43,7.62,61.73,2,1.52,304.8,304.8,2,152.4,30.48
1,7,0,0,0,,,19,546,0,0,2,,,,3,546546,15.43,7.62,61.73,2,1.52,304.8,304.8,6,152.4,30.48
1,10,0,0,0,,,37,209,0,0,2,,,,5,546546,15.43,7.62,61.73,2,1.52,304.8,304.8,10,152.4,30.48
1,13,0,0,0,,,2,295,0,0,4,,,,7,546546,15.43,7.62,61.73,2,1.52,304.8,304.8,14,152.4,30.48
1,16,0,0,0,,,20,538,0,0,4,,,,9,546546,15.43,7.62,61.73,2,1.52,304.8,304.8,18,152.4,30.48
1,19,0,0,0,,,38,189,0,0,4,,,,11,546546,15.43,7.62,61.73,2,1.52,304.8,304.8,22,152.4,30.48
1,22,15,0,0,,,3,295,0,0,6,,,,13,546546,15.43,7.62,61.73,2,1.52,304.8,304.8,26,152.4,30.48
1,25,29,0,0,,,21,538,0,0,6,,,,15,546546,15.43,7.62,61.73,2,1.52,304.8,304.8,30,152.4,30.48
1,28,41,0,0,,,39,189,0,0,6,,,,17,546546,15.43,7.62,61.73,2,1.52,304.8,304.8,34,152.4,30.48
1,31,54,0,0,,,4,217,0,0,8,,,,19,651568,15.43,7.62,61.73,2,1.52,304.8,304.8,2,152.4,30.48
1,34,66,0,0,,,22,195,0,0,8,,,,21,651568,15.43,7.62,61.73,2,1.52,304.8,304.8,6,152.4,30.48
1,37,78,0,0,,,40,207,0,0,8,,,,23,651568,15.43,7.62,61.73,2,1.52,304.8,304.8,10,152.4,30.48
1,40,89,0,0,,,5,217,0,0,10,,,,25,651568,15.43,7.62,61.73,2,1.52,304.8,304.8,14,152.4,30.48
1,43,98,0,0,,,23,195,0,0,10,,,,27,651568,15.43,7.62,61.73,2,1.52,304.8,304.8,18,152.4,30.48
1,46,107,0,0,,,41,207,0,0,10,,,,29,651568,15.43,7.62,61.73,2,1.52,304.8,304.8,22,152.4,30.48
1,49,119,0,0,,,6,217,0,0,12,,,,31,651568,15.43,7.62,61.73,2,1.52,304.8,304.8,26,152.4,30.48
1,52,130,0,0,,,24,195,0,0,12,,,,33,651568,15.43,7.62,61.73,2,1.52,304.8,304.8,30,152.4,30.48
1,55,137,0,0,,,42,207,0,0,12,,,,35,651568,15.43,7.62,61.73,2,1.52,304.8,304.8,34,152.4,30.48
1,58,140,0,0,,,7,217,0,0,14,,,,37,879413,15.43,7.62,61.73,2,1.52,304.8,304.8,2,152.4,30.48
1,61,140,0,0,,,25,195,0,0,14,,,,39,879413,15.43,7.62,61.73,2,1.52,304.8,304.8,6,152.4,30.48
1,64,145,0,0,,,43,207,0,0,14,,,,41,879413,15.43,7.62,61.73,2,1.52,304.8,304.8,10,152.4,30.48
1,67,150,0,0,,,8,217,0,0,16,,,,43,879413,15.43,7.62,61.73,2,1.52,304.8,304.8,14,152.4,30.48
1,70,152,0,0,,,26,195,0,0,16,,,,45,879413,15.43,7.62,61.73,2,1.52,304.8,304.8,18,152.4,30.48
1,73,157,0,0,,,44,207,0,0,16,,,,47,879413,15.43,7.62,61.73,2,1.52,304.8,304.8,22,152.4,30.48
1,76,162,0,0,,,9,217,0,0,18,,,,49,879413,15.43,7.62,61.73,2,1.52,304.8,304.8,26,152.4,30.48
1,79,167,0,0,,,27,195,0,0,18,,,,51,879413,15.43,7.62,61.73,2,1.52,304.8,304.8,30,152.4,30.48
1,82,170,0,0,,,45,207,0,0,18,,,,53,879413,15.43,7.62,61.73,2,1.52,304.8,304.8,34,152.4,30.48
1,85,170,0,0,,,10,217,0,0,20,,,,2,546546,15.43,7.62,61.73,2,1.52,304.8,304.8,4,152.4,30.48
1,88,170,0,0,,,28,195,0,0,20,,,,4,546546,15.43,7.62,61.73,2,1.52,304.8,304.8,8,152.4,30.48
1,91,171,0,0,,,46,207,0,0,20,,,,6,546546,15.43,7.62,61.73,2,1.52,304.8,304.8,12,152.4,30.48
1,94,171,0,0,,,11,217,0,0,22,,,,8,546546,15.43,7.62,61.73,2,1.52,304.8,304.8,16,152.4,30.48
1,97,171,0,0,,,29,195,0,0,22,,,,10,546546,15.43,7.62,61.73,2,1.52,304.8,304.8,20,152.4,30.48
1,100,171,0,0,,,47,207,0,0,22,,,,12,546546,15.43,7.62,61.73,2,1.52,304.8,304.8,24,152.4,30.48
